,movie,production_budget,worldwide_gross,studio,foreign_gross,year,popularity,vote_average,vote_count,runtime_minutes,genres
355,The Finest Hours,"$70,000,000","$49,252,761",BV,24500000.0,2016,12.673,6.4,943,117.0,"Action,Drama,History"
356,Escape Plan,"$70,000,000","$103,735,965",LG/S,112200000.0,2013,17.88,6.7,2799,115.0,"Action,Crime,Mystery"
357,Killer Elite,"$70,000,000","$65,409,046",ORF,31300000.0,2011,15.135,6.2,1093,116.0,"Action,Crime,Thriller"
358,The Legend of Hercules,"$70,000,000","$58,953,319",LG/S,42400000.0,2014,13.754,4.5,805,99.0,"Action,Adventure,Fantasy"
359,Blackhat,"$70,000,000","$19,665,004",Uni.,11600000.0,2015,16.824,5.3,1165,133.0,"Action,Crime,Thriller"
360,Despicable Me,"$69,000,000","$543,464,573",Uni.,291600000.0,2010,23.673,7.2,10057,95.0,"Animation,Comedy,Family"
361,Dinner for Schmucks,"$69,000,000","$86,796,502",P/DW,13800000.0,2010,6.632,5.6,920,114.0,Comedy
362,Red Sparrow,"$69,000,000","$145,951,861",Fox,104700000.0,2018,18.117,6.5,3406,140.0,"Action,Drama,Thriller"
363,The Twilight Saga: Eclipse,"$68,000,000","$706,102,828",Sum.,398000000.0,2010,20.34,6.0,4909,124.0,"Adventure,Drama,Fantasy"
364,Ted 2,"$68,000,000","$217,214,143",Uni.,135200000.0,2015,17.684,6.1,4227,115.0,Comedy
365,Hall Pass,"$68,000,000","$87,173,475",WB (NL),38100000.0,2011,9.984,5.5,1009,105.0,"Comedy,Romance"
366,Downsizing,"$68,000,000","$54,462,971",Par.,30600000.0,2017,10.682,5.1,1887,135.0,"Drama,Sci-Fi"
368,Abraham Lincoln: Vampire Hunter,"$67,500,000","$137,489,730",Fox,79000000.0,2012,12.498,5.6,2009,105.0,"Action,Fantasy,Horror"
369,Need for Speed,"$66,000,000","$194,169,619",BV,159700000.0,2014,13.723,6.1,2389,132.0,"Action,Crime,Thriller"
370,Lincoln,"$65,000,000","$273,346,281",BV,93100000.0,2012,12.693,6.8,2261,150.0,"Biography,Drama,History"
372,Hotel Transylvania 3: Summer Vacation,"$65,000,000","$527,079,962",Sony,361100000.0,2018,26.815,6.8,1673,97.0,"Adventure,Animation,Comedy"
373,Unbroken,"$65,000,000","$163,527,824",Uni.,47800000.0,2014,12.354,7.4,2240,104.0,Drama
375,Due Date,"$65,000,000","$211,739,043",WB,111200000.0,2010,12.445,6.3,2973,95.0,"Adventure,Comedy"
376,The Dictator,"$65,000,000","$180,148,897",Par.,119700000.0,2012,12.592,6.0,3042,83.0,Comedy
377,This Means War,"$65,000,000","$156,974,557",Fox,101700000.0,2012,12.017,6.0,2096,103.0,"Action,Comedy,Romance"
378,Resident Evil: Retribution,"$65,000,000","$240,647,629",SGem,197700000.0,2012,1.325,5.7,2321,95.0,"Action,Horror,Sci-Fi"
379,"I, Frankenstein","$65,000,000","$74,575,290",LGF,52100000.0,2014,12.7,5.2,1090,92.0,"Action,Fantasy,Horror"
380,Hop,"$63,000,000","$188,657,593",Uni.,75900000.0,2011,14.738,5.6,611,95.0,"Adventure,Animation,Comedy"
381,American Assassin,"$63,000,000","$68,310,140",LGF,31000000.0,2017,15.434,6.3,1596,112.0,"Action,Thriller"
382,The Hateful Eight,"$62,000,000","$147,864,886",Wein.,101600000.0,2015,20.681,7.7,8065,168.0,"Crime,Drama,Mystery"
384,Gone Girl,"$61,000,000","$368,567,189",Fox,201600000.0,2014,31.215,7.9,10459,149.0,"Drama,Mystery,Thriller"
385,Maze Runner: The Scorch Trials,"$61,000,000","$310,566,162",Fox,230600000.0,2015,17.31,6.6,6365,131.0,"Action,Sci-Fi,Thriller"
386,2 Guns,"$61,000,000","$132,493,015",Uni.,56300000.0,2013,14.8,6.5,2368,109.0,"Action,Comedy,Crime"
387,Maze Runner: The Death Cure,"$61,000,000","$265,878,536",Fox,230200000.0,2018,23.166,7.0,3894,143.0,"Action,Sci-Fi,Thriller"
388,Sully,"$60,000,000","$238,524,556",WB,115700000.0,2016,18.148,7.1,3924,96.0,"Biography,Drama"
389,Red,"$60,000,000","$196,439,693",Sum.,108600000.0,2010,0.6,5.0,1,,Thriller
394,Eat Pray Love,"$60,000,000","$206,598,789",Sony,124000000.0,2010,9.991,6.0,1208,133.0,"Drama,Romance"
395,Jack Reacher,"$60,000,000","$217,370,736",Par.,138300000.0,2012,18.312,6.4,4155,130.0,"Action,Crime,Thriller"
396,Contagion,"$60,000,000","$137,551,594",WB,59800000.0,2011,2.178,4.3,6,106.0,"Action,Drama,Thriller"
398,London Has Fallen,"$60,000,000","$195,194,085",Focus,143200000.0,2016,15.287,5.9,2591,99.0,"Action,Thriller"
399,Jack Reacher: Never Go Back,"$60,000,000","$159,946,489",Par.,103400000.0,2016,17.085,5.6,2831,118.0,"Action,Thriller"
401,Baywatch,"$60,000,000","$175,863,783",Par.,119800000.0,2017,14.429,6.1,4748,116.0,"Action,Comedy,Crime"
409,ParaNorman,"$60,000,000","$108,119,662",Focus,51100000.0,2012,13.32,6.8,1358,92.0,"Adventure,Animation,Comedy"
410,The Boxtrolls,"$60,000,000","$111,946,251",Focus,58400000.0,2014,11.219,6.7,1016,96.0,"Adventure,Animation,Comedy"
411,The Dark Tower,"$60,000,000","$113,461,527",Sony,62500000.0,2017,15.517,5.6,2842,95.0,"Action,Adventure,Fantasy"
412,Jack Ryan: Shadow Recruit,"$60,000,000","$131,377,412",Par.,84900000.0,2014,11.061,6.1,1687,105.0,"Action,Drama,Thriller"
413,Vice,"$60,000,000","$70,883,171",Annapurna,28200000.0,2018,14.641,4.3,312,96.0,"Action,Adventure,Sci-Fi"
417,Gangster Squad,"$60,000,000","$104,100,903",WB,59200000.0,2013,13.029,6.3,2527,113.0,"Action,Crime,Drama"
418,Smurfs: The Lost Village,"$60,000,000","$197,578,586",Sony,152200000.0,2017,15.663,6.2,736,90.0,"Adventure,Animation,Comedy"
419,First Man,"$60,000,000","$105,203,825",Uni.,60800000.0,2018,22.958,7.1,2304,141.0,"Biography,Drama,History"
421,Edge of Darkness,"$60,000,000","$82,812,456",WB,37800000.0,2010,11.252,6.3,794,117.0,"Crime,Drama,Mystery"
423,Trouble with the Curve,"$60,000,000","$47,818,913",WB,13200000.0,2012,8.548,6.7,613,111.0,"Drama,Sport"
424,The Mortal Instruments: City of Bones,"$60,000,000","$75,965,567",SGem,64200000.0,2013,16.484,6.3,2915,130.0,"Action,Fantasy,Horror"
425,Priest,"$60,000,000","$84,154,026",SGem,49200000.0,2011,15.318,5.5,1157,87.0,"Action,Adventure,Fantasy"
426,Rock Dog,"$60,000,000","$24,148,488",LG/S,74954901.2673389,2017,10.362,5.7,123,90.0,"Adventure,Animation,Comedy"
427,Mortdecai,"$60,000,000","$30,396,134",LGF,39600000.0,2015,13.263,5.4,1666,107.0,"Action,Comedy,Crime"
428,Sherlock Gnomes,"$59,000,000","$87,527,651",Par.,47100000.0,2018,12.987,5.4,343,86.0,"Adventure,Animation,Comedy"
429,Deadpool,"$58,000,000","$801,025,593",Fox,420000000.0,2016,35.067,7.6,20175,108.0,"Action,Adventure,Comedy"
430,American Sniper,"$58,000,000","$547,326,372",WB,197300000.0,2014,18.473,7.4,7658,133.0,"Action,Biography,Drama"
432,Goosebumps,"$58,000,000","$158,905,324",Sony,70100000.0,2015,18.957,6.2,2147,103.0,"Adventure,Comedy,Family"
434,Red Tails,"$58,000,000","$50,365,498",Fox,489000.0,2012,10.247,6.0,256,125.0,"Action,Adventure,Drama"
435,The Internship,"$58,000,000","$93,672,764",Fox,48800000.0,2013,0.6,6.2,2631,119.0,Comedy
436,Resident Evil: Afterlife,"$57,500,000","$295,874,190",SGem,240100000.0,2010,0.667,5.9,2119,96.0,"Action,Adventure,Horror"
437,That's My Boy,"$57,500,000","$58,085,235",Sony,20800000.0,2012,12.817,5.5,831,116.0,Comedy
438,Ghost Rider: Spirit of Vengeance,"$57,000,000","$149,217,355",Sony,80800000.0,2012,18.678,4.8,2039,96.0,"Action,Fantasy,Thriller"
439,Into the Woods,"$56,200,000","$213,116,401",BV,85100000.0,2014,13.726,5.7,2880,125.0,"Adventure,Comedy,Drama"
443,Bohemian Rhapsody,"$55,000,000","$894,985,342",Fox,687200000.0,2018,37.197,8.1,7629,134.0,"Biography,Drama,Music"
444,Fifty Shades Darker,"$55,000,000","$381,398,492",Uni.,267000000.0,2017,12.083,6.1,4489,118.0,"Drama,Romance"
445,Captain Phillips,"$55,000,000","$220,648,184",Sony,111700000.0,2013,15.483,7.6,3909,134.0,"Biography,Drama,Thriller"
446,The Equalizer,"$55,000,000","$192,903,624",Sony,90800000.0,2014,28.942,7.2,4989,132.0,"Action,Crime,Thriller"
447,Fifty Shades Freed,"$55,000,000","$371,350,619",Uni.,271500000.0,2018,22.512,6.1,3535,105.0,"Drama,Romance,Thriller"
448,Date Night,"$55,000,000","$152,269,033",Fox,53600000.0,2010,12.498,6.0,1743,88.0,"Comedy,Crime,Romance"
449,Paddington,"$55,000,000","$258,789,097",W/Dim.,191800000.0,2015,13.565,7.0,1904,95.0,"Adventure,Comedy,Family"
450,Free Birds,"$55,000,000","$110,387,072",Rela.,54600000.0,2013,11.062,5.8,410,91.0,"Adventure,Animation,Comedy"
451,Muppets Most Wanted,"$55,000,000","$79,312,301",BV,29200000.0,2014,9.118,6.2,473,107.0,"Adventure,Comedy,Crime"
452,Kubo and the Two Strings,"$55,000,000","$77,548,122",Focus,21900000.0,2016,13.847,7.7,2029,101.0,"Action,Adventure,Animation"
453,Burlesque,"$55,000,000","$90,552,675",SGem,50100000.0,2010,8.676,7.1,1195,119.0,"Drama,Music,Musical"
455,The Watch,"$55,000,000","$67,130,045",Fox,32900000.0,2012,10.228,5.4,1356,102.0,"Action,Comedy,Horror"
456,Crimson Peak,"$55,000,000","$74,966,854",Uni.,43600000.0,2015,9.897,6.5,2986,119.0,"Drama,Fantasy,Horror"
458,Bullet to the Head,"$55,000,000","$22,597,969",WB,74954901.2673389,2013,17.574,5.4,681,92.0,"Action,Crime,Thriller"
459,Black Mass,"$53,000,000","$98,837,872",WB,37200000.0,2015,14.646,6.4,2020,123.0,"Biography,Crime,Drama"
461,Zero Dark Thirty,"$52,500,000","$134,612,435",Sony,37100000.0,2012,14.239,6.9,2553,157.0,"Drama,Thriller"
462,Valentine's Day,"$52,000,000","$217,569,328",WB (NL),106000000.0,2010,11.187,5.8,1907,125.0,"Comedy,Romance"
463,The Change-Up,"$52,000,000","$75,997,067",Uni.,38400000.0,2011,12.122,6.0,1406,112.0,"Comedy,Fantasy"
464,Alpha,"$51,000,000","$99,624,873",Studio 8,62300000.0,2018,24.536,5.9,1167,116.0,Crime
468,The Adjustment Bureau,"$50,200,000","$126,931,325",Uni.,65400000.0,2011,13.717,6.6,2615,106.0,"Romance,Sci-Fi,Thriller"
469,Ted,"$50,000,000","$556,016,627",Uni.,330600000.0,2012,14.475,6.3,7727,106.0,"Comedy,Fantasy"
470,22 Jump Street,"$50,000,000","$331,333,876",Sony,139600000.0,2014,11.176,6.9,5167,112.0,"Action,Comedy,Crime"
471,Central Intelligence,"$50,000,000","$217,194,805",WB (NL),89500000.0,2016,14.478,6.3,3133,107.0,"Action,Comedy,Crime"
472,Anchorman 2: The Legend Continues,"$50,000,000","$172,185,754",Par.,46300000.0,2013,12.08,6.1,1408,119.0,Comedy
473,Super 8,"$50,000,000","$257,972,745",Par.,133100000.0,2011,14.39,6.7,3934,112.0,"Mystery,Sci-Fi,Thriller"
474,Creed II,"$50,000,000","$213,591,522",MGM,98300000.0,2018,26.907,6.7,2236,130.0,"Drama,Sport"
475,Peter Rabbit,"$50,000,000","$347,136,477",Sony,236000000.0,2018,15.974,6.5,650,95.0,"Adventure,Animation,Comedy"
476,The Mule,"$50,000,000","$170,857,676",WB,68700000.0,2018,6.161,6.4,77,96.0,"Crime,Drama,Mystery"
482,Non-Stop,"$50,000,000","$222,383,055",Uni.,130600000.0,2014,2.264,5.6,23,106.0,"Action,Mystery,Thriller"
484,The Emoji Movie,"$50,000,000","$216,562,312",Sony,131699999.0,2017,14.88,5.4,1447,86.0,"Adventure,Animation,Comedy"
485,The Post,"$50,000,000","$179,748,880",Fox,97900000.0,2017,15.551,7.0,2506,116.0,"Biography,Drama,History"
487,We Bought a Zoo,"$50,000,000","$118,729,073",Fox,44500000.0,2011,9.931,6.7,1523,124.0,"Comedy,Drama,Family"
488,Moneyball,"$50,000,000","$111,300,835",Sony,34600000.0,2011,15.393,7.1,2255,133.0,"Biography,Drama,Sport"
489,American Reunion,"$50,000,000","$236,799,211",Uni.,178000000.0,2012,17.199,6.2,2679,113.0,Comedy
490,American Made,"$50,000,000","$135,569,212",Uni.,83500000.0,2017,16.748,6.7,2188,115.0,"Action,Biography,Comedy"
492,The Judge,"$50,000,000","$76,119,388",WB,37300000.0,2014,16.464,7.3,2356,141.0,"Crime,Drama"
